file_name,class_num
S-211107_S_103_C_022_0001.mp3,10
128240-3-0-20.wav,1
43784-3-1-0.wav,1
S-211013_S_104_D_114_0001.mp3,8
S-211127_S_102_C_015_0001.mp3,9
77233-3-0-7.wav,1
S-211127_S_102_C_067_0001.mp3,9
175915-3-0-3.wav,1
203440-3-0-6.wav,1
151359-1-2-0.wav,8
74723-3-0-1.wav,1
S-211014_S_103_C_018_0002.mp3,10
197074-3-0-6.wav,1
7389-1-3-4.wav,8
117072-3-0-19.wav,1
S-211014_S_103_C_277_0001.mp3,10
55013-3-0-7.wav,1
S-211130_S_104_C_065_0001.mp3,3
14358-3-0-85.wav,1
74513-3-0-3.wav,1
S-211115_S_101_C_003_0001.mp3,6
S-211103_S_103_C_004_0001.mp3,10
99812-1-6-0.wav,8
S-211014_S_103_C_234_0001.mp3,10
S-211115_S_104_C_212_0001.mp3,8
7389-1-4-4.wav,8
204919-3-0-0.wav,1
S-211024_S_101_C_292_0001.mp3,7
65745-3-0-61.wav,1
85574-3-0-12.wav,1
63261-3-0-1.wav,1
161010-1-2-0.wav,8
196561-3-0-29.wav,1
S-211014_S_103_C_357_0001.mp3,10
156418-3-2-0.wav,1
44831-3-2-0.wav,1
38231-3-0-0.wav,1
100648-1-2-0.wav,8
199769-1-0-3.wav,8
74495-3-0-1.wav,1
128240-3-0-1.wav,1
S-211013_S_104_D_083_0001.mp3,8
33849-3-0-0.wav,1
9674-1-0-2.wav,8
S-211013_S_104_D_225_0001.mp3,8
110688-3-0-11.wav,1
S-211014_S_103_C_166_0001.mp3,10
197073-3-3-0.wav,1
72221-3-4-1.wav,1
199769-1-0-5.wav,8
97193-3-0-1.wav,1
199769-1-0-14.wav,8
208030-3-0-0.wav,1
72259-1-5-1.wav,8
S-211115_S_104_C_224_0001.mp3,8
72259-1-0-1.wav,8
155488-3-0-6.wav,1
71312-3-0-1.wav,1
100795-3-1-2.wav,1
207962-3-2-0.wav,1
74950-3-2-4.wav,1
156091-1-0-0.wav,8
S-211013_S_104_D_082_0001.mp3,8
S-211107_S_103_C_008_0001.mp3,10
18581-3-0-5.wav,1
9032-3-2-0.wav,1
197080-3-0-7.wav,1
160094-3-0-0.wav,1
128891-3-0-5.wav,1
199769-1-0-8.wav,8
72259-1-10-0.wav,8
S-211103_S_102_C_139_0001.mp3,5
126521-3-0-17.wav,1
17486-3-2-0.wav,1
72259-1-10-4.wav,8
164312-3-4-0.wav,1
S-211103_S_102_C_154_0001.mp3,5
201207-3-21-0.wav,1
36902-3-1-0.wav,1
S-211103_S_102_C_132_0001.mp3,5
161922-3-1-4.wav,1
166489-3-0-1.wav,1
S-211103_S_102_C_308_0001.mp3,5
102103-3-1-0.wav,1
155311-3-0-0.wav,1
62048-3-0-4.wav,1
19496-3-1-1.wav,1
71439-1-3-0.wav,8
S-211103_S_102_C_261_0001.mp3,5
128465-1-0-6.wav,8
S-211103_S_102_C_205_0001.mp3,5
72259-1-9-4.wav,8
161923-3-0-12.wav,1
S-211126_S_102_C_048_0001.mp3,5
65381-3-0-7.wav,1
32318-3-0-0.wav,1
84317-3-0-0.wav,1
43802-1-2-0.wav,8
162148-3-0-0.wav,1
31840-3-0-0.wav,1
86284-3-0-0.wav,1
97193-3-0-6.wav,1
72265-3-4-0.wav,1
